NAME,DATE,TAVG,TMAX,TMIN,PRCP,HAVG
bungotakada city,2024-2-25,8.8,12.8,5.7,4,81
bungotakada city,2024-2-26,9.1,12.4,6.3,0,69
bungotakada city,2024-2-27,7,10.3,1.7,0,58
bungotakada city,2024-2-28,5.4,10.7,-0.7,0,72
bungotakada city,2024-2-29,8.1,9.6,6.2,22,89
bungotakada city,2024-3-1,8.2,10.7,4.2,0.5,69
bungotakada city,2024-3-2,3.9,6.3,-1.8,0,57
bungotakada city,2024-3-3,4.4,10.2,-2.7,0,70
bungotakada city,2024-3-4,8.9,15.3,1.5,0,68
bungotakada city,2024-3-5,9.1,10.2,8,25,95
bungotakada city,2024-3-6,9.2,11.8,5.7,0.5,78
bungotakada city,2024-3-7,7.8,13,3,0,70
bungotakada city,2024-3-8,8.2,10.4,5.7,0.5,60
bungotakada city,2024-3-9,7.3,10.3,2,0,61
bungotakada city,2024-3-10,5.6,12.1,-0.4,0,65
bungotakada city,2024-3-11,9.2,18.5,1.2,4,72
bungotakada city,2024-3-12,9.7,13.1,6.9,14,87
bungotakada city,2024-3-13,9,13.8,4.6,0.5,65
bungotakada city,2024-3-14,9.1,15.7,3.9,0,71
bungotakada city,2024-3-15,10,18.8,3.5,0,64
bungotakada city,2024-3-16,11,19.2,3.7,0,62
bungotakada city,2024-3-17,10.9,13.2,8.2,7,88
bungotakada city,2024-3-18,10.3,13.2,6.6,0,64
bungotakada city,2024-3-19,10.1,14.4,6.6,2,71
bungotakada city,2024-3-20,7.3,10.8,3.6,1,65
bungotakada city,2024-3-21,6.2,11.2,1.8,0,69
bungotakada city,2024-3-22,9.7,16.7,0.7,0,66
bungotakada city,2024-3-23,15.6,20.1,13.2,23,82
bungotakada city,2024-3-24,13.8,15.4,12.9,38.5,97
bungotakada city,2024-3-25,12.5,13.6,12,19,97
bungotakada city,2024-3-26,11.6,13,9.7,19,85
bungotakada city,2024-3-27,10.8,16.2,6.8,0,65
bungotakada city,2024-3-28,13.8,17.2,9.5,4,74
bungotakada city,2024-3-29,16.9,23.3,12.6,0,62
bungotakada city,2024-3-30,17,22.5,11.5,0,65
bungotakada city,2024-3-31,16.3,23.2,10.6,0,77
bungotakada city,2024-4-1,15.1,19.7,10.6,0,74
bungotakada city,2024-4-2,14.1,19.9,8.2,2.5,78
bungotakada city,2024-4-3,16,19.2,14.5,59,95
bungotakada city,2024-4-4,14.5,15.8,13.4,4.5,90
bungotakada city,2024-4-5,14.1,17.4,10.8,0,81
bungotakada city,2024-4-6,13.6,19.2,9.4,2.5,88
bungotakada city,2024-4-7,17,21.6,14.2,0.5,86
bungotakada city,2024-4-8,16.3,20.2,14.6,20.5,91
bungotakada city,2024-4-9,14,17.3,10.1,6.5,78
bungotakada city,2024-4-10,12.6,20.5,6.3,0,61
bungotakada city,2024-4-11,15.9,21.1,10.5,0,69
bungotakada city,2024-4-12,17.9,23.8,13.3,0,69
bungotakada city,2024-4-13,16.4,24,11.4,0,74
bungotakada city,2024-4-14,18.4,25.7,9.3,0,65
bungotakada city,2024-4-15,18,19.5,16.4,9.5,80
bungotakada city,2024-4-16,18.4,25.8,15.2,0,86
bungotakada city,2024-4-17,17.6,22.1,13.8,0,80
bungotakada city,2024-4-18,17.3,22,14.1,0,70
bungotakada city,2024-4-19,17.1,25.7,9.2,0,60
bungotakada city,2024-4-20,16.1,23.8,12.5,9,80
bungotakada city,2024-4-21,17.4,19.7,16.3,22,94
bungotakada city,2024-4-22,17.4,19.5,16.4,5.5,94
bungotakada city,2024-4-23,16.4,17.7,15.5,3,96
bungotakada city,2024-4-24,17,19.1,12.9,4,87
bungotakada city,2024-4-25,16.3,23.6,9.2,0,75
bungotakada city,2024-4-26,16.8,20.1,12.6,0,84
bungotakada city,2024-4-27,17.4,20.4,15.8,10.5,89
bungotakada city,2024-4-28,18.4,22.7,15.5,0,89
bungotakada city,2024-4-29,18.6,20.6,17,28.5,94
bungotakada city,2024-4-30,18.2,19.7,17.5,0,92
bungotakada city,2024-5-1,15.9,17.5,13.7,4,87
bungotakada city,2024-5-2,14.5,19.1,9.8,0,70
bungotakada city,2024-5-3,17.8,25.6,10.6,0,73
bungotakada city,2024-5-4,21.5,27.1,15.1,0,66
bungotakada city,2024-5-5,21.5,25.2,18,0,64
bungotakada city,2024-5-6,20.1,23.6,17.3,9,87
bungotakada city,2024-5-7,18.4,20.9,16,0.5,77
bungotakada city,2024-5-8,15.6,17.9,12.8,0,69
bungotakada city,2024-5-9,15.2,20.9,11.6,0,59
bungotakada city,2024-5-10,17.3,26.6,9,0,66
bungotakada city,2024-5-11,20.9,27.1,15,0,65
bungotakada city,2024-5-12,20.1,21.9,18.2,15,88
bungotakada city,2024-5-13,18.2,22.4,12.7,6.5,71
bungotakada city,2024-5-14,16.9,23.8,10.1,0,69
bungotakada city,2024-5-15,18.3,24.3,13,0,71
bungotakada city,2024-5-16,18,22.3,14.5,0,51
bungotakada city,2024-5-17,19.9,27.4,12.6,0,47
bungotakada city,2024-5-18,18.5,26.6,10.3,0,67
bungotakada city,2024-5-19,18.4,25.7,12.1,0,72
bungotakada city,2024-5-20,19.2,27.8,12.8,0,75
bungotakada city,2024-5-21,20.8,28.5,14.4,0,70
bungotakada city,2024-5-22,20.7,24.8,16.4,0,78
bungotakada city,2024-5-23,21.5,25.4,18.4,0,76
bungotakada city,2024-5-24,20.8,25.6,17.4,0,81
bungotakada city,2024-5-25,21.1,28.1,16.1,0,64
bungotakada city,2024-5-26,22.4,28.9,15.1,5.5,65
bungotakada city,2024-5-27,22.8,28.3,19.4,19.5,89
bungotakada city,2024-5-28,16.9,19.7,14.3,101,87
bungotakada city,2024-5-29,18.8,24.7,14.4,0,66
bungotakada city,2024-5-30,19.3,25.9,12.6,0,74
bungotakada city,2024-5-31,17.9,20,14.7,7,89
bungotakada city,2024-6-1,20.1,27.2,13.5,0,77
bungotakada city,2024-6-2,19.8,23.3,16,0,77
bungotakada city,2024-6-3,19.7,23.5,16.5,0,69
bungotakada city,2024-6-4,20.1,24,15.3,0,71
bungotakada city,2024-6-5,20.1,27.7,14.4,0,68
bungotakada city,2024-6-6,20.6,27.3,15.9,0,74
bungotakada city,2024-6-7,23.4,29.2,18.5,0,63
bungotakada city,2024-6-8,21.8,25.1,18.9,3,80
bungotakada city,2024-6-9,20.4,23.8,18.9,16,90
bungotakada city,2024-6-10,21.9,26.5,19.4,0,83
bungotakada city,2024-6-11,22.1,25,18.8,0,89
bungotakada city,2024-6-12,24.6,29.9,19.7,0,73
bungotakada city,2024-6-13,24.9,31.9,19.2,0,70
bungotakada city,2024-6-14,24.9,32.3,18.7,0,69
bungotakada city,2024-6-15,25.3,30,22.2,0,73
bungotakada city,2024-6-16,25.1,29.6,21.6,0,77
bungotakada city,2024-6-17,22.8,27.9,18.4,26,86
bungotakada city,2024-6-18,22.5,26.5,18.5,38.5,84
bungotakada city,2024-6-19,23.9,32.1,17.7,0,79
bungotakada city,2024-6-20,21.4,24.6,19.5,28.5,82
bungotakada city,2024-6-21,23,28.7,18.8,21.5,84
bungotakada city,2024-6-22,24.8,28.8,22,19,88
bungotakada city,2024-6-23,26.5,29,24.4,2.5,86
bungotakada city,2024-6-24,25.7,28.5,23.1,0,81
bungotakada city,2024-6-25,24.8,27.9,22.7,0,82
bungotakada city,2024-6-26,22.2,23.9,19.3,10.5,93
bungotakada city,2024-6-27,21.7,24.3,19.2,29,96
bungotakada city,2024-6-28,23.9,27.6,22.1,32.5,92
bungotakada city,2024-6-29,25.1,29.7,22.2,4,89
bungotakada city,2024-6-30,27,30.9,24.1,35,81
bungotakada city,2024-7-1,25.3,26.7,23.7,35.5,95
bungotakada city,2024-7-2,26.4,31.8,23.4,5,90
bungotakada city,2024-7-3,29.3,35.1,24,0,72
bungotakada city,2024-7-4,29.1,32.5,24.8,0,71
bungotakada city,2024-7-5,30.3,34.6,25.6,0,67
bungotakada city,2024-7-6,31.1,36.1,26.6,0,64
bungotakada city,2024-7-7,30.7,35.3,25.9,0,66
bungotakada city,2024-7-8,30.5,35.7,24.6,0,66
bungotakada city,2024-7-9,30.7,35.4,25.8,0,63
bungotakada city,2024-7-10,28.4,31.7,24.9,2.5,76
bungotakada city,2024-7-11,24.8,28.3,22,57,91
bungotakada city,2024-7-12,25.4,30,22.1,9.5,83
bungotakada city,2024-7-13,25.3,29.8,23.5,9,91
bungotakada city,2024-7-14,24.1,25.7,23,21,96
bungotakada city,2024-7-15,24.8,29,23.1,14,92
bungotakada city,2024-7-16,25.6,31,23.3,20.5,92
bungotakada city,2024-7-17,27.7,32.8,23.3,0,83
bungotakada city,2024-7-18,28.8,34.6,24.3,0,79
bungotakada city,2024-7-19,29.8,34.5,25.7,0,73
bungotakada city,2024-7-20,29.5,34.6,26.2,0,75
bungotakada city,2024-7-21,29.6,34.5,24.7,0,75
bungotakada city,2024-7-22,30.2,35.8,25.3,0,74
bungotakada city,2024-7-23,30.3,36,25.6,0,75
bungotakada city,2024-7-24,29.3,33.7,25.9,0,79
bungotakada city,2024-7-25,29.8,34.4,25.5,0,78
bungotakada city,2024-7-26,29.4,33.6,26.7,0,77
bungotakada city,2024-7-27,30.2,35.9,26.2,10.5,79
bungotakada city,2024-7-28,29.7,34.8,26.1,0,82
bungotakada city,2024-7-29,30,34.9,25.3,0,76
bungotakada city,2024-7-30,30.5,34.3,25.2,0,73
bungotakada city,2024-7-31,29.9,34.8,25.4,0,74
bungotakada city,2024-8-1,30.3,36.1,25.1,0,77
bungotakada city,2024-8-2,31.4,36.9,28,0,75
bungotakada city,2024-8-3,30.9,37.4,26.2,0,76
bungotakada city,2024-8-4,30.9,36.8,27.6,0,78
bungotakada city,2024-8-5,30.5,36.4,27.1,0,77
bungotakada city,2024-8-6,30.2,34.9,26.6,0,76
bungotakada city,2024-8-7,29.8,34.4,25.1,0,75
bungotakada city,2024-8-8,29.9,35.6,25.3,0,74
bungotakada city,2024-8-9,29.8,34.3,25.5,0,76
bungotakada city,2024-8-10,29.7,34,25.6,0,73
bungotakada city,2024-8-11,29.5,34.3,24.8,0,72
bungotakada city,2024-8-12,28.7,34.7,24,0,76
bungotakada city,2024-8-13,29.2,35.2,24.7,0,74
bungotakada city,2024-8-14,29.9,37.6,24.9,0,70
bungotakada city,2024-8-15,29.7,36,25.1,0,75
bungotakada city,2024-8-16,30.1,34.3,25.5,0,75
bungotakada city,2024-8-17,29.6,33.3,27.3,0,73
bungotakada city,2024-8-18,29.5,36.8,24.9,0,75
bungotakada city,2024-8-19,27.2,28.6,25,6,86
bungotakada city,2024-8-20,30.5,36.7,26.1,0,75
bungotakada city,2024-8-21,30.4,37.5,25.6,0,74
bungotakada city,2024-8-22,30.9,37.7,26.3,0,73
bungotakada city,2024-8-23,31.1,37.7,26.5,0,72
bungotakada city,2024-8-24,29.1,34.8,26.7,12.5,83
bungotakada city,2024-8-25,27.7,31.9,25.3,0,85
bungotakada city,2024-8-26,29.1,35,24.3,0,74
bungotakada city,2024-8-27,28,33.1,25.2,3,82
bungotakada city,2024-8-28,25.7,27.9,24.2,7.5,89
bungotakada city,2024-8-29,25.2,26.2,24.5,162.5,95
bungotakada city,2024-8-30,25.5,26.8,24.5,41.5,96
bungotakada city,2024-8-31,27,30.3,22.9,0.5,85
bungotakada city,2024-9-1,26,31.9,21.9,0,81
bungotakada city,2024-9-2,26.9,32.2,22.4,0,81
bungotakada city,2024-9-3,27.5,32,23.5,0,77
bungotakada city,2024-9-4,27.5,32.7,22.7,0,77
bungotakada city,2024-9-5,26.7,33.1,21.9,0,78
bungotakada city,2024-9-6,27.4,33.3,23,0,79
bungotakada city,2024-9-7,27.7,33.1,23.5,0,79
bungotakada city,2024-9-8,27.5,33.8,23.3,0,79
bungotakada city,2024-9-9,27.4,35.2,22.3,0,74
bungotakada city,2024-9-10,28.1,32.2,24.6,0.5,82
bungotakada city,2024-9-11,29.8,34.2,26.7,0,76
bungotakada city,2024-9-12,29.7,35.9,25.2,0,71
bungotakada city,2024-9-13,29.1,34.8,24.8,0,72
bungotakada city,2024-9-14,28.1,33.4,24.2,0,79
bungotakada city,2024-9-15,28.4,32.1,26.5,3,87
bungotakada city,2024-9-16,29.6,34.2,27.2,0,81
bungotakada city,2024-9-17,29.1,35.2,26.2,0,75
bungotakada city,2024-9-18,29.4,34.9,24.6,0,73
bungotakada city,2024-9-19,29.6,33.4,26.4,0,75
bungotakada city,2024-9-20,28.9,34.4,25.9,0.5,80
bungotakada city,2024-9-21,28.5,33.3,24.6,0,74
bungotakada city,2024-9-22,25.2,30.4,23,35.5,91
bungotakada city,2024-9-23,23.2,27.4,19.9,0,74
bungotakada city,2024-9-24,23.8,29.3,18.4,0,77
bungotakada city,2024-9-25,24.8,29.5,21.8,0,80
bungotakada city,2024-9-26,24.9,31.9,20.8,0,77
bungotakada city,2024-9-27,25.5,31,20.5,0,79
bungotakada city,2024-9-28,25.9,30.5,21.8,0,79
bungotakada city,2024-9-29,24.3,30,20.3,0,79
bungotakada city,2024-9-30,25.3,32,20.4,0,79
bungotakada city,2024-10-1,25,30.1,21.2,0,79
bungotakada city,2024-10-2,20.4,23.5,18.6,18.5,93
bungotakada city,2024-10-3,20.3,22.4,18,4.5,93
bungotakada city,2024-10-4,21.6,25.1,19.1,0.5,80
bungotakada city,2024-10-5,22.3,25.7,19.5,0,84
bungotakada city,2024-10-6,24.5,28.9,20.7,4,85
bungotakada city,2024-10-7,21.8,23.6,20.5,13,94
bungotakada city,2024-10-8,20.1,21.5,18.1,1.5,92
bungotakada city,2024-10-9,20.6,24.8,15.4,0.5,76
bungotakada city,2024-10-10,20.7,25,15.6,0,74
bungotakada city,2024-10-11,19.2,25.1,14.6,0,71
bungotakada city,2024-10-12,18.3,24.9,13.9,0,74
bungotakada city,2024-10-13,19.4,27.7,13.2,0,77
bungotakada city,2024-10-14,21.8,24.4,16.9,0,80
bungotakada city,2024-10-15,25,28.6,23.2,0,71
bungotakada city,2024-10-16,23.5,28.5,20.2,0,86
bungotakada city,2024-10-17,22.8,28.2,19.8,4,87
bungotakada city,2024-10-18,25.4,30,21.8,0,79
bungotakada city,2024-10-19,22.8,25.9,18.5,28.5,87
bungotakada city,2024-10-20,17.6,21.8,14.9,0,71
bungotakada city,2024-10-21,19.7,23.5,15.3,0,84
bungotakada city,2024-10-22,21.9,23.9,20.6,18.5,87
bungotakada city,2024-10-23,20.5,24.5,14.4,3.5,83
bungotakada city,2024-10-24,17.4,21.3,13.1,0,84
bungotakada city,2024-10-25,18.7,24.1,14.1,0,84
bungotakada city,2024-10-26,20.1,22.2,18,1,89
bungotakada city,2024-10-27,21.5,24.9,18.6,2.5,89
bungotakada city,2024-10-28,19.1,21.5,17.5,3,84
bungotakada city,2024-10-29,18.1,19.3,17.5,2,93
bungotakada city,2024-10-30,18.3,22.5,14.6,0,80
bungotakada city,2024-10-31,17.3,20,14.2,0,84
bungotakada city,2024-11-1,19.4,20.5,17.3,32.5,95
bungotakada city,2024-11-2,20.9,22.9,19.5,53.5,88
bungotakada city,2024-11-3,17.7,22.8,13.3,0,74
bungotakada city,2024-11-4,17.8,25.1,11.8,0,81
bungotakada city,2024-11-5,18,23.3,14,0,79
bungotakada city,2024-11-6,16.2,19.2,13.9,0,65
bungotakada city,2024-11-7,13.4,20,8.9,0,75
bungotakada city,2024-11-8,13.2,19.9,7.6,0,77
bungotakada city,2024-11-9,15.4,20.9,11.3,0,81
bungotakada city,2024-11-10,16.5,19.2,13.4,7.5,91
bungotakada city,2024-11-11,17.3,20.8,12.9,1,92
bungotakada city,2024-11-12,16.6,21.3,12,0,84
bungotakada city,2024-11-13,15.8,21.4,11.7,0,86
bungotakada city,2024-11-14,16.8,22.4,11.5,0,85
bungotakada city,2024-11-15,18.2,20.3,16,0,91
bungotakada city,2024-11-16,19,22.2,16.6,0,89
bungotakada city,2024-11-17,19,20.8,17.3,0,86
bungotakada city,2024-11-18,14.6,18,9.1,0,69
bungotakada city,2024-11-19,10,15.1,6.3,0,70
bungotakada city,2024-11-20,10.4,16,5,0,78
bungotakada city,2024-11-21,13.3,17.4,7.5,0,72
bungotakada city,2024-11-22,12.6,17.3,6.2,0,69
bungotakada city,2024-11-23,12.1,15.1,8.7,0,70
bungotakada city,2024-11-24,9.3,14.6,4.8,0,73
bungotakada city,2024-11-25,9.9,16.3,3.2,0,75
bungotakada city,2024-11-26,14.6,18.9,8.8,13.5,78
bungotakada city,2024-11-27,10.4,15.2,6.7,0.5,77
bungotakada city,2024-11-28,9.9,13.1,7.9,0,68
bungotakada city,2024-11-29,9.6,12,8.1,0,70
bungotakada city,2024-11-30,10,13.8,4.7,0,67
bungotakada city,2024-12-1,10.3,16.8,4.6,0,70
bungotakada city,2024-12-2,12.7,19.2,7.8,1.5,81
bungotakada city,2024-12-3,12.3,16.4,6.4,0,76
bungotakada city,2024-12-4,10.2,12.6,4.4,0,64
bungotakada city,2024-12-5,9.9,13.4,5.7,0,65
bungotakada city,2024-12-6,10,13.6,7.4,0,62
bungotakada city,2024-12-7,8.5,10.9,5.3,0,62
bungotakada city,2024-12-8,7.6,9.9,4.9,0.5,64
bungotakada city,2024-12-9,6.9,12,0.6,0,69
bungotakada city,2024-12-10,7.2,12.2,2.4,0,75
bungotakada city,2024-12-11,7.1,12.5,2.1,0,78
bungotakada city,2024-12-12,8.6,13.4,3.5,0,82
bungotakada city,2024-12-13,7.9,12.9,2.6,0.5,77
bungotakada city,2024-12-14,7.1,9.4,4.5,0.5,60
bungotakada city,2024-12-15,7,9.3,0.9,0,63
bungotakada city,2024-12-16,7.3,9.9,1.6,0,71
bungotakada city,2024-12-17,7.4,11.1,2.6,0,68
bungotakada city,2024-12-18,5.5,9.7,1.4,0.5,75
bungotakada city,2024-12-19,5.5,9.8,1.2,1,69
bungotakada city,2024-12-20,5,11.8,-0.6,0,75
bungotakada city,2024-12-21,7.4,12.7,2.6,0,72
bungotakada city,2024-12-22,6.1,7.8,4.4,0,61
bungotakada city,2024-12-23,5,10,-0.9,0,68
bungotakada city,2024-12-24,6.5,11.2,0.7,0,64
bungotakada city,2024-12-25,6.7,13.9,-1.3,0,72
bungotakada city,2024-12-26,9.4,12.3,6.8,0,73
bungotakada city,2024-12-27,6.7,8,3.3,0,64
bungotakada city,2024-12-28,5.2,7.2,3.3,0.5,71
bungotakada city,2024-12-29,5.6,9.1,1.5,0,67
bungotakada city,2024-12-30,7.3,13.8,2.1,0,68
bungotakada city,2024-12-31,8.9,11.4,3.4,0,63
